Species,Abbreviations,Period,Group,FAD_Ma,LAD_Ma,Body_mass_mg,Body_mass_g,Brain_volume_cm3,Brain_volume_mm3,Olfactory_bulbs_mm3,Petrosal_lobules_mm3,Neocortex_surface_mm2,Brain_surface_mm2,OB_percentage,PL_percentage,Neorcortex_surface_percentage,Period2,Order,Collection number,Status,NALMA/SALMA/ELMA/ALMA
Arctocyon_primaevus,Ar_pr,Paleocene,Paleocene,57.7,56,49284290,49284.29,23.8057,23805.7,1597.21,31.5,764.36,7439,6.709359523,0.132321251,10.27503697,late Paleocene,Artocyonidae,IRSNB Vert-26857-62 / UCMP 61454,segmented,Cernaysian
Arctocyonides_arenae,Ard_ar,Paleocene,Paleocene,57.7,56,5477120,5477.12,8.3,8300,700,NA,NA,NA,8.43373494,NA,NA,late Paleocene,Artocyonidae,MHMP CR 733,literature,Cernaysian
Loxolophus_hyattianus,Lo_hy,Paleocene,Paleocene,65.57,65.47,5995330,5995.33,NA,NA,NA,11.3451,NA,NA,NA,NA,NA,early Paleocene,Artocyonidae,AMNH FM 16343,segmented,Puercan Pu2
Loxolophus_priscus,Lo_pr,Paleocene,Paleocene,65.27,65.22,4733550,4733.55,2.43822,2438.22,110.3944,1.06,NA,NA,4.527663623,0.043474338,NA,early Paleocene,Artocyonidae,AMNH 3108,segmented,Puercan Pu3
Claenodon_ferox,Cl_fe,Paleocene,Paleocene,62.34,62.29,38410330,38410.33,29.1701,29170.1,2458.82,8.2,818.66,9074.5,8.429247757,0.028110977,9.021543887,early Paleocene,Artocyonidae,NMMNH P-8627,segmented,Torrejonian To3
Baioconodon_denverensis,Ba_de,Paleocene,Paleocene,65.76,65.65,3662700,3662.7,NA,NA,NA,12.422,NA,NA,NA,NA,NA,early Paleocene,Artocyonidae,DMNH 2500,segmented,Puercan Pu1
Chriacus_pelvidens,Ch_pe,Paleocene,Paleocene,62.7,62.63,4659820,4659.82,NA,NA,NA,7.7652,NA,NA,NA,NA,NA,early Paleocene,Artocyonidae,NMMNH P-62258,segmented,Torrejonian To2
Chriacus_baldwini,Ch_ba,Paleocene,Paleocene,62.7,62.6,1796890,1796.89,2.6998,2699.8,187.003,6.94,NA,NA,6.926550115,0.257056078,NA,early Paleocene,Artocyonidae,MCZ 20676,segmented,Torrejonian To2
Pantolambda_bathmodon,Pa_ba,Paleocene,Paleocene,62.52,62.22,41919200,41919.2,19,19000,1000,1.0484,NA,NA,5.263157895,0.005517895,NA,early Paleocene,Pantodonta,NMMNH 14538 / AMNH 3957,literature/segmented,Torrejonian To3
Alcidedorbignya_inopinata,Al_in,Paleocene,Paleocene,64.8,64,861480,861.48,2.20322,2203.22,187.06,NA,NA,NA,8.49030056,NA,NA,early Paleocene,Pantodonta,MHNC 8372,literature,Tiupampan = Torrejonian To1
