Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Baioconodon_denverensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chriacus_pelvidens,Chulsanbaatar_vulgaris,Claenodon_ferox,Conacodon_entoconus,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Goniacodon_sp.,Hadrocodium_wui,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mioclaenus_turgidus,Moeritherium_lyonsi,Morganucodon_sp.,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Tetraclaenodon_puercensis,Thinocyon_velox,Titanoides_primaevus,Triconodon_mordax,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
1,1,5.586203,4562,4.562,1.310126,0.970878,1,2.147961,85.626895,92.703821,70.890667,145.059693,369.916517,525.175736,388.025297,127.376242,478.329216,517.862365,396.009657,810.332892,Morganucodon_sp.
2,123,3.407836,68117,68.117,10.718803,1.62309,7.358827,20.889018,615.253176,133.085428,413.601628,1297.939829,225.665774,320.380906,236.712947,77.705258,2096.681924,453.533312,1409.486518,4423.166075,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Baioconodon_denverensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chriacus_pelvidens,Chulsanbaatar_vulgaris,Claenodon_ferox,Conacodon_entoconus,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Goniacodon_sp.,Hadrocodium_wui,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mioclaenus_turgidus,Moeritherium_lyonsi,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Tetraclaenodon_puercensis,Thinocyon_velox,Titanoides_primaevus,Triconodon_mordax,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
3,1,3.938713,68641,68.641,10.948123,0.760897,7.466338,21.575086,623.348796,103.806435,420.735473,1205.759816,260.820274,370.290248,273.588389,89.810281,2455.192008,408.863755,1657.156276,4749.141861,Hadrocodium_wui
4,122,29.88808,97224,97.224,28.740572,10.367417,12.293056,98.892602,1610.033447,558.281518,727.86718,3922.286977,1979.178783,2809.868241,2076.066894,681.506081,48120.80847,16685.96267,21754.55251,117229.6269,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Baioconodon_denverensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chriacus_pelvidens,Chulsanbaatar_vulgaris,Claenodon_ferox,Conacodon_entoconus,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Goniacodon_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mioclaenus_turgidus,Moeritherium_lyonsi,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Tetraclaenodon_puercensis,Thinocyon_velox,Titanoides_primaevus,Triconodon_mordax,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
5,1,7.808598,97117,97.117,29.915041,7.10846,12.390522,96.317096,1695.619542,423.272935,732.861932,4945.344905,517.08278,734.10977,542.395891,178.05115,13240.41137,3305.168198,5722.624215,38616.21033,Triconodon_mordax
6,121,33.69319,100000,100,184.120182,96.832531,133.113507,302.377451,10123.01653,7036.364128,8303.98672,13191.01664,2231.15191,3167.59807,2340.375036,768.269954,341076.7194,237077.5535,279787.8023,444447.4298,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Baioconodon_denverensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chriacus_pelvidens,Chulsanbaatar_vulgaris,Claenodon_ferox,Conacodon_entoconus,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Goniacodon_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mioclaenus_turgidus,Moeritherium_lyonsi,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Tetraclaenodon_puercensis,Thinocyon_velox,Titanoides_primaevus,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
7,5,38.62724,100000,100,228.636,88.102873,146.483851,542.010542,12779.967,5861.352354,9036.002096,29375.08223,2557.883071,3631.462942,2683.100894,880.775846,493654.8524,226407.8641,349035.8216,1134678.351,"Chulsanbaatar_vulgaris,Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus,Vintana_sertichi"
8,1,26.45277,100000,100,6012.768077,2962.460354,4523.410069,5744.570497,329328.2074,229382.0815,283633.1695,196312.68,1751.69369,2486.904422,1837.445565,603.174363,8711643.325,6067791.444,7502882.996,5193014.172,Vintana_sertichi
9,4,6.641839,100000,100,261.806431,113.792298,147.870063,668.216691,14622.8775,9082.64268,9091.921097,35143.79552,439.820384,624.419249,461.351216,151.446786,97122.79808,60325.45037,60387.07612,233419.4317,"Chulsanbaatar_vulgaris,Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus"
