Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Hadrocodium_wui,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Robiacina_lavergnensis,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Triconodon_mordax,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei"
1,1,3.938713,3742,3.742,1.240231,0.993606,1,1.905636,0.003686,0.00271,0.002776,0.00667,0.011731,0.010328,0.010828,0.007301,0.01452,0.010675,0.010934,0.026273,Hadrocodium_wui
2,83,29.88808,4146,4.146,1.116797,0.922408,1,1.486312,0.003206,0.002731,0.002757,0.004473,0.089021,0.078369,0.082162,0.055402,0.095821,0.081612,0.082401,0.133695,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Robiacina_lavergnensis,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Triconodon_mordax,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei"
3,1,7.808598,4830,4.83,1.179984,0.989756,1,1.648057,0.003398,0.002571,0.002766,0.005287,0.023258,0.020475,0.021466,0.014474,0.026536,0.020075,0.021599,0.041282,Triconodon_mordax
4,82,33.69319,7285,7.285,1.199809,0.967431,1,1.741882,0.003188,0.002584,0.00277,0.003838,0.100354,0.088346,0.092623,0.062455,0.107429,0.087067,0.09333,0.129328,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Robiacina_lavergnensis,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei"
5,4,38.62724,10477,10.477,1.350718,1.092555,1,3.386542,0.003438,0.002534,0.002809,0.004934,0.11505,0.101283,0.106186,0.071601,0.132817,0.097869,0.108504,0.190582,"Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus,Vintana_sertichi"
6,1,26.45277,14022,14.022,1.758776,1.138614,1,4.635516,0.004372,0.002928,0.002873,0.008149,0.078789,0.069361,0.072719,0.049034,0.115659,0.077442,0.075999,0.215561,Vintana_sertichi
7,3,6.641839,16960,16.96,1.956757,0.752622,1,6.330403,0.004783,0.002417,0.002904,0.009424,0.019783,0.017415,0.018258,0.012312,0.031767,0.016054,0.019288,0.062594,"Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus"
8,1,19.8138,13902,13.902,1.521788,0.878795,1,3.55676,0.00379,0.002399,0.002855,0.006663,0.059015,0.051953,0.054468,0.036728,0.075101,0.047524,0.056568,0.132013,Litovoi_tholocephalos
9,2,3.556355,19596,19.596,2.132233,1.423285,1,7.517664,0.005265,0.002498,0.002939,0.01536,0.010592,0.009325,0.009776,0.006592,0.018725,0.008883,0.010452,0.054625,"Kryptobaatar_dashzevegi,Ptilodus_montanus"
10,1,22.94042,18028,18.028,1.895013,1.589489,1,7.512007,0.004617,0.001896,0.002921,0.01339,0.068327,0.060151,0.063063,0.042523,0.105919,0.043505,0.067009,0.307166,Ptilodus_montanus
