Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Hadrocodium_wui,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Robiacina_lavergnensis,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Triconodon_mordax,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei"
1,1,3.938713,3688,3.688,1.215714,1.026482,1,1.740794,0.08346,0.07328,0.001671,0.48978,0.302276,0.016197,0.006475,1.233176,0.328726,0.288628,0.006582,1.929101,Hadrocodium_wui
2,83,29.88808,17059,17.059,0.965573,1.015993,1,1.431262,0.007562,0.01022,0.001437,0.10255,2.293757,0.122904,0.049136,9.357695,0.226021,0.305454,0.042941,3.065014,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Robiacina_lavergnensis,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Triconodon_mordax,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei"
3,1,7.808598,17702,17.702,1.027282,0.960661,1,1.567241,0.007444,0.021654,0.001447,0.107395,0.59927,0.03211,0.012837,2.444803,0.05813,0.169091,0.011301,0.838602,Triconodon_mordax
4,82,33.69319,22110,22.11,1.028993,1.063288,1,1.751107,0.001477,0.000355,0.001429,0.002667,2.585779,0.138552,0.055392,10.549041,0.049754,0.011944,0.048148,0.089867,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Anisonchus_sectorus,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Bathygenys_reevesi,Chriacus_baldwini,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Robiacina_lavergnensis,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Titanoides_primaevus,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei"
5,4,38.62724,27823,27.823,1.613664,1.111182,1,4.935324,0.001603,0.000189,0.001523,0.002408,2.964442,0.158841,0.063503,12.093849,0.061902,0.007309,0.058829,0.093004,"Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus,Vintana_sertichi"
6,1,26.45277,28427,28.427,1.709796,0.890608,1,6.137258,0.001676,0.000296,0.001536,0.002832,2.030114,0.108778,0.043488,8.282129,0.044328,0.00784,0.040638,0.074922,Vintana_sertichi
7,3,6.641839,35118,35.118,2.670578,0.7705,1,11.052796,0.002122,0.002001,0.001662,0.006304,0.509727,0.027312,0.010919,2.079501,0.014095,0.013292,0.011039,0.041867,"Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus"
8,1,19.8138,34571,34.571,2.483364,0.849393,1,11.71546,0.001957,0.001741,0.001655,0.003442,1.520607,0.081477,0.032574,6.203526,0.038784,0.034493,0.032792,0.068209,Litovoi_tholocephalos
9,2,3.556355,43706,43.706,4.783585,2.293625,1,20.408794,0.003064,0.001585,0.00185,0.008116,0.272932,0.014624,0.005847,1.113463,0.010895,0.005638,0.006579,0.028864,"Kryptobaatar_dashzevegi,Ptilodus_montanus"
