Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chulsanbaatar_vulgaris,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Hadrocodium_wui,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Moeritherium_lyonsi,Morganucodon_sp.,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Triconodon_mordax,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
1,1,5.586203,2748,2.748,1.12555,0.984561,1,1.301026,0.005139,0.002566,0.000338,0.041613,0.026864,0.007732,0.001849,0.209911,0.02871,0.014333,0.001888,0.232461,Morganucodon_sp.
2,115,3.407836,11260,11.26,1.111114,0.92551,1,1.823629,0.001723,0.021899,0.000303,0.075085,0.016388,0.004717,0.001128,0.128055,0.005871,0.074628,0.001031,0.255877,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chulsanbaatar_vulgaris,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Hadrocodium_wui,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Moeritherium_lyonsi,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Triconodon_mordax,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
3,1,3.938713,10998,10.998,1.082343,0.857217,1,1.817484,0.001335,0.004381,0.0003,0.019117,0.018942,0.005452,0.001304,0.148004,0.005257,0.017255,0.001182,0.075296,Hadrocodium_wui
4,114,29.88808,15618,15.618,1.151001,0.906036,1,2.65866,0.000459,0.000182,0.000286,0.002185,0.143734,0.04137,0.009893,1.123094,0.013725,0.005443,0.008548,0.065304,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chulsanbaatar_vulgaris,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Moeritherium_lyonsi,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Triconodon_mordax,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
5,1,7.808598,15913,15.913,1.186746,0.873262,1,2.855489,0.000472,0.000286,0.000288,0.002282,0.037552,0.010808,0.002585,0.293421,0.003683,0.002236,0.002249,0.01782,Triconodon_mordax
6,113,33.69319,19955,19.955,1.53301,-0.963316,1,22.200966,0.000354,0.000121,0.000304,0.000504,0.162033,0.046637,0.011152,1.266077,0.011925,0.004069,0.010256,0.016978,"Acmeodon_secans,Adapis_parisiensis,Agriochoerus_sp.,Alcidedorbignya_inopinata,Amynodon_advenus,Anisonchus_sectorus,Anoplotherium_sp.,Arctocyon_primaevus,Arctocyonides_arenae,Asioryctes_nemegetensis,Basilosaurus_cetoides,Basilosaurus_isis,Bathygenys_reevesi,Cebochoerus_sp.,Chriacus_baldwini,Chulsanbaatar_vulgaris,Claenodon_ferox,Coryphodon_elephantopus,Coryphodon_hamatus,Cynohyaenodon_cayluxi,Dacrytherium_sp.,Dalanistes_ahmedi,Diacodexis_ilicis,Dichobune_leporina,Dinictis_felina,Diplobune_sp.,Dorudon_atrox,Ectoconus_ditrigonus,Ectoganus_copei,Eoryctes_melanus,Eotylopus_sp.,Heptodon_posticus,Homacodon_vagans,Hyaenodon_horridus,Hyopsodus_lepidus,Hyopsodus_miticulus,Hyopsodus_paulus,Hyrachyus_modestus,Xenicohippus_osborni,Ignacius_graybullianus,Kennalestes_gobiensis,Kryptobaatar_dashzevegi,Labidolemur_kayi,Leptictis_sp.,Leptolambda_schmidti,Leptotragulus_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Mesatirhinus_junius,Mesonyx_obtusidens,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Microsyops_annectens,Moeritherium_lyonsi,Mouillacitherium_elegans,Necrolemur_antiquus,Notharctus_tenebrosus,Notostylops_murinus,Oldfieldthomasia_debilitata,Onychodectes_tisonensis,Oodectes_herpestoides,Oxacron_sp.,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Palaeosyops_robustus,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Phenacodus_primaevus,Phenacodus_wortmani,Plesiadapis_cookei,Plesiadapis_tricuspidens,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Prorastomus_sirenoides,Protoreodon_petersoni,Protylopus_sp.,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pterodon_dasyuroides,Ptilodus_montanus,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rhyphodon_lankesteri,Robiacina_lavergnensis,Rodhocetus_kasrani,Rooneyia_viejaensis,Saghacetus_osiris,Seggeurius_amourensis,Sinopa_lania,Smilodectes_gracilis,Tapirulus_hyracinus,Tetheopsis_ingens,Tetraclaenodon_pliciferus,Thinocyon_velox,Titanoides_primaevus,Tritemnodon_agilis,Trogosus_grangeri,Trogosus_hillsii,Uintatherium_anceps,Vincelestes_neuquenianus,Vintana_sertichi,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus,Xenicohippus_sp.,Zalambdalestes_lechei,Zygorhiza_kochii"
7,5,38.62724,21970,21.97,1.527884,0.66171,1,5.523838,0.000361,0.000135,0.000312,0.000531,0.185761,0.053466,0.012786,1.451482,0.013963,0.005213,0.012052,0.020513,"Chulsanbaatar_vulgaris,Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus,Vintana_sertichi"
8,1,26.45277,25244,25.244,1.993211,0.945304,1,9.958793,0.000415,0.000113,0.000348,0.00065,0.127213,0.036615,0.008756,0.994006,0.010977,0.002986,0.009198,0.017203,Vintana_sertichi
9,4,6.641839,25198,25.198,1.835442,1.056198,1,8.206042,0.000416,0.000148,0.000329,0.000781,0.031941,0.009193,0.002198,0.249578,0.002765,0.000983,0.002188,0.005188,"Chulsanbaatar_vulgaris,Kryptobaatar_dashzevegi,Litovoi_tholocephalos,Ptilodus_montanus"
