Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Baioconodon_denverensis,Chriacus_baldwini,Chriacus_pelvidens,Claenodon_ferox,Conacodon_entoconus,Diacodexis_ilicis,Ectoconus_ditrigonus,Goniacodon_levisanus,Hadrocodium_wui,Hyopsodus_lepidus,Hyopsodus_paulus,Kryptobaatar_dashzevegi,Leptictis_sp.,Litovoi_tholocephalos,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Mioclaenus_turgidus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tetraclaenodon_puercensis,Vincelestes_neuquenianus,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
1,1,3.938713,4863,4.863,1.394323,1.012814,1,2.549292,0.018729,0.009616,0.011004,0.04705,0.05529,0.036695,0.042286,0.090394,0.073769,0.037873,0.043342,0.185316,Hadrocodium_wui
2,51,63.58127,7660,7.66,1.290546,1.109599,1,2.404124,0.014666,0.009519,0.010896,0.023648,0.89253,0.59235,0.682609,1.459195,0.932471,0.605213,0.692782,1.503553,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Baioconodon_denverensis,Chriacus_baldwini,Chriacus_pelvidens,Claenodon_ferox,Conacodon_entoconus,Diacodexis_ilicis,Ectoconus_ditrigonus,Goniacodon_levisanus,Hyopsodus_lepidus,Hyopsodus_paulus,Kryptobaatar_dashzevegi,Leptictis_sp.,Litovoi_tholocephalos,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Mioclaenus_turgidus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tetraclaenodon_puercensis,Vincelestes_neuquenianus,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
3,2,45.269079,9314,9.314,1.30761,0.905264,1,2.367888,0.015091,0.008331,0.010932,0.027804,0.63547,0.421746,0.486009,1.038929,0.683154,0.377139,0.49489,1.258676,"Kryptobaatar_dashzevegi,Litovoi_tholocephalos"
4,1,19.8138,8629,8.629,1.255435,1.120017,1,2.541676,0.014593,0.007907,0.010857,0.025828,0.278139,0.184594,0.212721,0.454728,0.28915,0.156674,0.215118,0.511761,Litovoi_tholocephalos
5,1,14.897841,8145,8.145,1.206975,1.058291,1,2.10738,0.014161,0.00919,0.010802,0.023837,0.20913,0.138794,0.159943,0.341907,0.210963,0.136906,0.160926,0.355122,Kryptobaatar_dashzevegi
6,49,4.906172,8457,8.457,1.230193,1.009527,1,2.033746,0.014256,0.009057,0.010758,0.023505,0.068871,0.045708,0.052673,0.112597,0.069944,0.044437,0.05278,0.115321,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Baioconodon_denverensis,Chriacus_baldwini,Chriacus_pelvidens,Claenodon_ferox,Conacodon_entoconus,Diacodexis_ilicis,Ectoconus_ditrigonus,Goniacodon_levisanus,Hyopsodus_lepidus,Hyopsodus_paulus,Leptictis_sp.,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Mioclaenus_turgidus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tetraclaenodon_puercensis,Vincelestes_neuquenianus,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
7,1,3.835603,8285,8.285,1.216824,0.962434,1,2.376764,0.014046,0.008958,0.010749,0.022958,0.053843,0.035734,0.041179,0.088027,0.053874,0.034359,0.041229,0.088057,Vincelestes_neuquenianus
8,48,34.87448,8599,8.599,1.12674,0.835685,1,2.171734,0.012862,0.008446,0.010656,0.016051,0.489555,0.324905,0.374412,0.800372,0.448547,0.294538,0.37164,0.559767,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Baioconodon_denverensis,Chriacus_baldwini,Chriacus_pelvidens,Claenodon_ferox,Conacodon_entoconus,Diacodexis_ilicis,Ectoconus_ditrigonus,Goniacodon_levisanus,Hyopsodus_lepidus,Hyopsodus_paulus,Leptictis_sp.,Loxolophus_hyattianus,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Mioclaenus_turgidus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Orthaspidotherium_edwardsi,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Tetraclaenodon_puercensis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
9,1,30.58483,8833,8.833,1.138379,0.949635,1,1.561524,0.013057,0.009042,0.010668,0.017026,0.429338,0.284941,0.328359,0.701924,0.399334,0.27655,0.326279,0.520748,Pucadelphys_andinus
