Node ID,No Taxa,Original BL,No different from original,Pct time scaled,Mean Scalar,Mode Scalar,Median Scalar,SD Scalar,Mean SigV,Mode SigV,Median SigV,SD SigV,Mean DeltaB,Mode DeltaB,Median DeltaB,SD DeltaB,Mean DeltaV,Mode DeltaV,Median DeltaV,SD DeltaV,Taxa List
0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Chriacus_baldwini,Claenodon_ferox,Diacodexis_ilicis,Ectoconus_ditrigonus,Hadrocodium_wui,Hyopsodus_lepidus,Hyopsodus_paulus,Kryptobaatar_dashzevegi,Leptictis_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Vincelestes_neuquenianus,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
1,1,3.938713,4181,4.181,1.310206,0.98244,1,2.269831,0.070953,0.05022,0.007682,0.536472,0.245181,0.055312,0.029659,1.367003,0.279464,0.197803,0.030257,2.113008,Hadrocodium_wui
2,43,63.58127,9511,9.511,1.11963,0.972799,1,1.635841,0.01053,0.006695,0.007404,0.024303,3.957879,0.892886,0.478767,22.067056,0.669521,0.425691,0.470756,1.545225,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Chriacus_baldwini,Claenodon_ferox,Diacodexis_ilicis,Ectoconus_ditrigonus,Hyopsodus_lepidus,Hyopsodus_paulus,Kryptobaatar_dashzevegi,Leptictis_sp.,Litovoi_tholocephalos,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Vincelestes_neuquenianus,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
3,2,45.269079,15931,15.931,1.586024,0.886475,1,3.53922,0.013362,0.007964,0.007798,0.03201,2.817961,0.635724,0.340876,15.711471,0.604893,0.360503,0.353008,1.449053,"Kryptobaatar_dashzevegi,Litovoi_tholocephalos"
4,1,19.8138,12323,12.323,1.261784,1.070619,1,2.443445,0.011537,0.008016,0.007523,0.031481,1.233392,0.27825,0.149198,6.876746,0.22859,0.158818,0.149059,0.623757,Litovoi_tholocephalos
5,1,14.897841,11762,11.762,1.218825,1.164839,1,3.108163,0.011219,0.008014,0.007482,0.032467,0.927378,0.209214,0.112181,5.170571,0.167133,0.119385,0.111466,0.483695,Kryptobaatar_dashzevegi
6,41,4.906172,11626,11.626,1.194746,1.0355,1,1.925899,0.010975,0.005606,0.007387,0.024429,0.305405,0.068898,0.036943,1.702778,0.053846,0.027502,0.036242,0.119852,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Chriacus_baldwini,Claenodon_ferox,Diacodexis_ilicis,Ectoconus_ditrigonus,Hyopsodus_lepidus,Hyopsodus_paulus,Leptictis_sp.,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Vincelestes_neuquenianus,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
7,1,3.835603,11675,11.675,1.210925,1.063934,1,2.042675,0.011022,0.007291,0.007399,0.023083,0.238763,0.053864,0.028882,1.331217,0.042278,0.027966,0.028381,0.088539,Vincelestes_neuquenianus
8,40,34.87448,12020,12.02,1.09873,0.997267,1,1.460887,0.009767,0.006016,0.007328,0.014524,2.170906,0.48975,0.262605,12.103833,0.340627,0.209818,0.255543,0.506533,"Acmeodon_secans,Adapis_parisiensis,Anisonchus_sectorus,Arctocyon_primaevus,Chriacus_baldwini,Claenodon_ferox,Diacodexis_ilicis,Ectoconus_ditrigonus,Hyopsodus_lepidus,Hyopsodus_paulus,Leptictis_sp.,Loxolophus_priscus,Meniscotherium_chamense,Metacheiromys_marshi,Miacis_sylvestris,Microchoerus_erinaceus,Necrolemur_antiquus,Notharctus_tenebrosus,Onychodectes_tisonensis,Oodectes_herpestoides,Palaeophyllophora_oltina,Palaeophyllophora_quercyi,Pantolambda_bathmodon,Paramys_copei,Paramys_delicatus,Pleuraspidotherium_aumonieri,Prohesperocyon_wilsoni,Pseudotomus_hians,Pseudotomus_horribilis,Pseudotomus_oweni,Pseudotomus_petersoni,Pucadelphys_andinus,Rapamys_atramontis,Reithroparamys_delicatissimus,Rooneyia_viejaensis,Sinopa_lania,Smilodectes_gracilis,Viverravus_minutus,Vulpavus_ovatus,Vulpavus_profectus"
9,1,30.58483,11767,11.767,1.081151,1.285185,1,2.671568,0.009619,0.006307,0.007297,0.013913,1.903879,0.429509,0.230304,10.615031,0.294188,0.192892,0.223175,0.425515,Pucadelphys_andinus
